Export of Imageset roboRotation_apriltag_01 (ball annotations in bounding boxes)
[team|Robocup Projekt]
[set|roboRotation_apriltag_01]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]


label::robot|1565609299548462798.jpg|640|480|166|0|260|269|213.0|134.5|94|269
label::robot|1565609299515740200.jpg|640|480|166|0|259|272|212.5|136.0|93|272
label::robot|1565609299483841195.jpg|640|480|167|0|258|278|212.5|139.0|91|278
label::robot|1565609299447916388.jpg|640|480|168|0|260|291|214.0|145.5|92|291
label::robot|1565609299416151051.jpg|640|480|167|0|259|300|213.0|150.0|92|300
label::robot|1565609299384170026.jpg|640|480|167|0|257|308|212.0|154.0|90|308
label::robot|1565609299348232232.jpg|640|480|166|0|255|311|210.5|155.5|89|311
label::robot|1565609299316194989.jpg|640|480|165|5|255|314|210.0|159.5|90|309
label::robot|1565609299283309348.jpg|640|480|167|12|255|313|211.0|162.5|88|301
label::robot|1565609299248480932.jpg|640|480|168|12|254|318|211.0|165.0|86|306
label::robot|1565609299216304193.jpg|640|480|167|13|255|319|211.0|166.0|88|306
label::robot|1565609299184193810.jpg|640|480|167|13|257|323|212.0|168.0|90|310
label::robot|1565609299152249552.jpg|640|480|168|11|258|326|213.0|168.5|90|315
label::robot|1565609299115709055.jpg|640|480|168|10|259|329|213.5|169.5|91|319
label::robot|1565609299084018812.jpg|640|480|168|10|257|330|212.5|170.0|89|320
label::robot|1565609299047355329.jpg|640|480|168|12|258|331|213.0|171.5|90|319
label::robot|1565609299015956146.jpg|640|480|168|15|258|331|213.0|173.0|90|316
label::robot|1565609298983895070.jpg|640|480|168|17|256|331|212.0|174.0|88|314
label::robot|1565609298947875179.jpg|640|480|169|14|256|336|212.5|175.0|87|322
label::robot|1565609298915793109.jpg|640|480|169|16|257|336|213.0|176.0|88|320
label::robot|1565609298883976168.jpg|640|480|169|16|256|339|212.5|177.5|87|323
label::robot|1565609298848015009.jpg|640|480|167|16|255|339|211.0|177.5|88|323
label::robot|1565609298815993003.jpg|640|480|165|15|254|340|209.5|177.5|89|325
label::robot|1565609298783826476.jpg|640|480|166|13|249|340|207.5|176.5|83|327
label::robot|1565609298747308510.jpg|640|480|164|14|249|337|206.5|175.5|85|323
label::robot|1565609298715792396.jpg|640|480|164|14|248|335|206.0|174.5|84|321
label::robot|1565609298683877422.jpg|640|480|164|14|249|336|206.5|175.0|85|322
label::robot|1565609298647919864.jpg|640|480|164|16|248|333|206.0|174.5|84|317
label::robot|1565609298615881623.jpg|640|480|164|17|247|332|205.5|174.5|83|315
label::robot|1565609298584042721.jpg|640|480|164|18|247|330|205.5|174.0|83|312
label::robot|1565609298548184485.jpg|640|480|164|17|247|330|205.5|173.5|83|313
label::robot|1565609298515935479.jpg|640|480|165|18|246|329|205.5|173.5|81|311
label::robot|1565609298483877252.jpg|640|480|165|17|245|329|205.0|173.0|80|312
label::robot|1565609298448296177.jpg|640|480|165|18|244|327|204.5|172.5|79|309
label::robot|1565609298415890960.jpg|640|480|165|16|246|328|205.5|172.0|81|312
label::robot|1565609298384045985.jpg|640|480|166|16|247|326|206.5|171.0|81|310
